language_as_recorded,language_code,authorized_label,structured_value
[English],,English,Q1860
[French],,French,Q150
[Latin],,Latin,Q397
[no text],,no linguistic content,Q22282939
Added notes in Italian (Volume 1),zxx;ita,Italian,Q652
Ancient Greek,grc,Ancient Greek,Q35497
Anglo-Norman,,Anglo-Norman,Q35214
Anglo-Norman,xno,Anglo-Norman,Q35214
Anglo-Norman; English; Latin,,Anglo-Norman|English|Latin,Q35214|Q1860|Q397
Anglo-Norman; Latin,,Anglo-Norman|Latin,Q35214|Q397
Anglo-Norman French; Middle English,,Anglo-Norman|Middle English,Q35214|Q36395
Anglo-Saxon,,Old English,Q42365
Anglo-Saxon; Latin,,Old English|Latin,Q42365|Q397
ara,ara,Arabic,Q13955
Arabic,ara;eng,Arabic,Q13955
Arabic,,Arabic,Q13955
Arabic,ara,Arabic,Q13955
"Arabic, with colophon in Arabic and Ottoman Turkish (in Arabic script, f. 8v)",ara,Arabic|Ottoman Turkish,Q13955|Q36730
"Arabic, with commentary in Ottoman Turkish",ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
"Arabic, with some Persian",ara;per,Arabic|Persian,Q13955|Q9168
Arabic; Persian,,Arabic|Persian,Q13955|Q9168
Arabic; some notes in Persian,ara;per,Arabic|Persian,Q13955|Q9168
Arabic and Persian,ara;per,Arabic|Persian,Q13955|Q9168
"Arabic headwords, Ottoman definitions",ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
Arabic text with Persian marginalia,ara;per,Arabic|Persian,Q13955|Q9168
Arabic with 13 pages in Ottoman Turkish,ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
Arabic with a few statements in Persian,ara;per,Arabic|Persian,Q13955|Q9168
Arabic with some marginalia in Persian,ara;per,Arabic|Persian,Q13955|Q9168
Arabic with some notes in Persian,ara,Arabic|Persian,Q13955|Q9168
Arabic with some Ottoman Turkish,ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
Arabic with some Persian marginalia,ara;per,Arabic|Persian,Q13955|Q9168
